customerid,churn_score,risk_level,recency_days,frequency,monetary,avg_order_value,return_count,customer_age_months
15069,75,Critical - Priority Outreach,178,1,1109.53,15.85042857,0,5.9
15074,75,Critical - Priority Outreach,104,1,735.67,17.94317073,0,3.5
15076,75,Critical - Priority Outreach,172,1,880.85,17.97653061,0,5.7
15083,75,Critical - Priority Outreach,256,1,88.2,17.64,0,8.5
15090,75,Critical - Priority Outreach,307,1,381.32,16.57913043,0,10.2
15234,75,Critical - Priority Outreach,276,1,197,14.07142857,0,9.2
15226,75,Critical - Priority Outreach,310,1,154.41,19.30125,0,10.3
15225,75,Critical - Priority Outreach,233,1,409.4,17.8,0,7.8
17860,75,Critical - Priority Outreach,368,1,226.45,4.354807692,0,12.3
15119,75,Critical - Priority Outreach,245,1,266.4,19.02857143,0,8.2
12750,75,Critical - Priority Outreach,128,1,275.88,18.392,0,4.3
15210,75,Critical - Priority Outreach,224,1,331.18,16.559,0,7.5
15130,75,Critical - Priority Outreach,169,1,330.11,15.005,0,5.6
15180,75,Critical - Priority Outreach,366,1,87.5,14.58333333,0,12.2
17859,75,Critical - Priority Outreach,304,1,141.92,6.170434783,0,10.1
17855,75,Critical - Priority Outreach,372,1,208.97,12.29235294,0,12.4
15178,75,Critical - Priority Outreach,259,1,40.5,13.5,0,8.6
15143,75,Critical - Priority Outreach,225,1,259.45,18.53214286,0,7.5
15174,75,Critical - Priority Outreach,322,1,135.75,12.34090909,0,10.7
15167,75,Critical - Priority Outreach,320,1,158.8,4.071794872,0,10.7
15165,75,Critical - Priority Outreach,372,1,487.75,18.06481481,0,12.4
17844,75,Critical - Priority Outreach,106,1,51.56,10.312,0,3.5
17843,75,Critical - Priority Outreach,302,1,205.48,5.553513514,0,10.1
12790,75,Critical - Priority Outreach,191,1,324.92,15.47238095,0,6.4
12792,75,Critical - Priority Outreach,256,1,400.54,16.0216,0,8.5
12378,75,Critical - Priority Outreach,129,1,4008.62,18.30420091,0,4.3
12350,75,Critical - Priority Outreach,309,1,334.4,19.67058824,0,10.3
15528,75,Critical - Priority Outreach,253,1,229.33,8.820384615,0,8.4
14699,75,Critical - Priority Outreach,213,1,109.13,13.64125,0,7.1
15517,75,Critical - Priority Outreach,232,1,267.03,9.89,0,7.7
15507,75,Critical - Priority Outreach,171,1,475.86,10.57466667,0,5.7
14722,75,Critical - Priority Outreach,146,1,180.42,6.443571429,0,4.9
15503,75,Critical - Priority Outreach,362,1,141.04,2.136969697,0,12.1
14729,75,Critical - Priority Outreach,373,1,313.49,4.415352113,0,12.4
17893,75,Critical - Priority Outreach,224,1,107.21,7.147333333,0,7.5
17891,75,Critical - Priority Outreach,161,1,203.86,5.995882353,0,5.4
15472,75,Critical - Priority Outreach,112,1,371.56,4.888947368,0,3.7
15464,75,Critical - Priority Outreach,337,1,1044.65,6.739677419,0,11.2
12707,75,Critical - Priority Outreach,291,1,603.42,18.28545455,0,9.7
14762,75,Critical - Priority Outreach,263,1,300.52,14.31047619,0,8.8
15460,75,Critical - Priority Outreach,353,1,214.26,3.826071429,0,11.8
17887,75,Critical - Priority Outreach,128,1,111.35,11.135,0,4.3
14772,75,Critical - Priority Outreach,111,1,139.26,15.47333333,0,3.7
15457,75,Critical - Priority Outreach,261,1,237.07,4.087413793,0,8.7
18262,75,Critical - Priority Outreach,139,1,149.48,11.49846154,0,4.6
15454,75,Critical - Priority Outreach,361,1,179.1,7.164,0,12
15448,75,Critical - Priority Outreach,312,1,494.64,17.66571429,0,10.4
15447,75,Critical - Priority Outreach,330,1,155.17,17.24111111,0,11
12715,75,Critical - Priority Outreach,105,1,343.36,17.168,0,3.5
15438,75,Critical - Priority Outreach,130,1,156.58,6.2632,0,4.3
17881,75,Critical - Priority Outreach,303,1,133.35,16.66875,0,10.1
17880,75,Critical - Priority Outreach,364,1,458.92,17.65076923,0,12.1
15437,75,Critical - Priority Outreach,261,1,200.16,4.448,0,8.7
15415,75,Critical - Priority Outreach,312,1,559.61,11.90659574,0,10.4
15412,75,Critical - Priority Outreach,170,1,190.53,19.053,0,5.7
14840,75,Critical - Priority Outreach,267,1,62.85,15.7125,0,8.9
15408,75,Critical - Priority Outreach,263,1,267.18,7.858235294,0,8.8
17877,75,Critical - Priority Outreach,169,1,237.61,19.80083333,0,5.6
14873,75,Critical - Priority Outreach,209,1,519.68,18.56,0,7
15397,75,Critical - Priority Outreach,289,1,94,15.66666667,0,9.6
14888,75,Critical - Priority Outreach,206,1,369.2,18.46,0,6.9
14889,75,Critical - Priority Outreach,335,1,135.9,13.59,0,11.2
14890,75,Critical - Priority Outreach,253,1,125.65,17.95,0,8.4
17871,75,Critical - Priority Outreach,204,1,155.9,15.59,0,6.8
12725,75,Critical - Priority Outreach,370,1,427.8,17.825,0,12.3
15395,75,Critical - Priority Outreach,325,1,107.45,15.35,0,10.8
15388,75,Critical - Priority Outreach,269,1,140.54,14.054,0,9
15386,75,Critical - Priority Outreach,185,1,394.14,12.71419355,0,6.2
12729,75,Critical - Priority Outreach,113,1,453.01,17.42346154,0,3.8
12732,75,Critical - Priority Outreach,179,1,236.26,19.68833333,0,6
14957,75,Critical - Priority Outreach,252,1,58.49,4.874166667,0,8.4
12733,75,Critical - Priority Outreach,233,1,383.95,17.45227273,0,7.8
14964,75,Critical - Priority Outreach,246,1,206.21,15.86230769,0,8.2
15346,75,Critical - Priority Outreach,332,1,252.42,14.84823529,0,11.1
14972,75,Critical - Priority Outreach,127,1,114.77,6.376111111,0,4.2
15326,75,Critical - Priority Outreach,333,1,311.71,10.74862069,0,11.1
14981,75,Critical - Priority Outreach,245,1,102.12,12.765,0,8.2
14988,75,Critical - Priority Outreach,211,1,334.54,8.3635,0,7
15325,75,Critical - Priority Outreach,103,1,161.74,3.369583333,0,3.4
12738,75,Critical - Priority Outreach,371,1,155.35,14.12272727,0,12.4
15004,75,Critical - Priority Outreach,146,1,1220.77,7.927077922,0,4.9
15319,75,Critical - Priority Outreach,283,1,204.5,12.78125,0,9.4
15007,75,Critical - Priority Outreach,158,1,156.91,13.07583333,0,5.3
15314,75,Critical - Priority Outreach,198,1,327.97,13.66541667,0,6.6
15016,75,Critical - Priority Outreach,172,1,170.04,8.502,0,5.7
15019,75,Critical - Priority Outreach,266,1,252.81,3.830454545,0,8.9
15307,75,Critical - Priority Outreach,95,1,205.3,17.10833333,0,3.2
15303,75,Critical - Priority Outreach,289,1,574.02,18.51677419,0,9.6
15292,75,Critical - Priority Outreach,200,1,178.39,7.432916667,0,6.7
15280,75,Critical - Priority Outreach,171,1,113.12,7.07,0,5.7
15266,75,Critical - Priority Outreach,337,1,119.3,19.88333333,0,11.2
15263,75,Critical - Priority Outreach,106,1,156.51,13.0425,0,3.5
15262,75,Critical - Priority Outreach,323,1,178.95,17.895,0,10.8
15041,75,Critical - Priority Outreach,169,1,179.93,2.726212121,0,5.6
13002,75,Critical - Priority Outreach,317,1,120.95,17.27857143,0,10.6
18212,75,Critical - Priority Outreach,325,1,216.07,6.355,0,10.8
13011,75,Critical - Priority Outreach,371,1,50.55,16.85,0,12.4
17542,75,Critical - Priority Outreach,269,1,170.75,6.83,0,9
17535,75,Critical - Priority Outreach,279,1,164.4,12.64615385,0,9.3
13033,75,Critical - Priority Outreach,356,1,190.55,17.32272727,0,11.9
18203,75,Critical - Priority Outreach,156,1,160.42,8.443157895,0,5.2
13044,75,Critical - Priority Outreach,290,1,560.47,16.98393939,0,9.7
13045,75,Critical - Priority Outreach,98,1,305.28,16.96,0,3.3
17517,75,Critical - Priority Outreach,308,1,153.94,13.99454545,0,10.3
17514,75,Critical - Priority Outreach,127,1,208.65,5.21625,0,4.2
13052,75,Critical - Priority Outreach,211,1,348.15,19.34166667,0,7
13065,75,Critical - Priority Outreach,372,1,205.86,14.70428571,0,12.4
17508,75,Critical - Priority Outreach,280,1,387.31,17.605,0,9.3
13080,75,Critical - Priority Outreach,178,1,58.08,9.68,0,5.9
17499,75,Critical - Priority Outreach,289,1,622.88,15.572,0,9.6
17486,75,Critical - Priority Outreach,260,1,396.87,16.53625,0,8.7
13101,75,Critical - Priority Outreach,233,1,101.19,12.64875,0,7.8
17456,75,Critical - Priority Outreach,364,1,249.86,14.69764706,0,12.1
17455,75,Critical - Priority Outreach,203,1,131.7,16.4625,0,6.8
12418,75,Critical - Priority Outreach,112,1,668.58,19.66411765,0,3.7
18200,75,Critical - Priority Outreach,105,1,150.35,5.011666667,0,3.5
12426,75,Critical - Priority Outreach,194,1,582.73,19.42433333,0,6.5
17431,75,Critical - Priority Outreach,312,1,403.3,9.379069767,0,10.4
17408,75,Critical - Priority Outreach,162,1,32.65,16.325,0,5.4
18185,75,Critical - Priority Outreach,248,1,304.25,17.89705882,0,8.3
13161,75,Critical - Priority Outreach,312,1,112.75,14.09375,0,10.4
12441,75,Critical - Priority Outreach,366,1,173.55,15.77727273,0,12.2
17367,75,Critical - Priority Outreach,237,1,167.55,5.077272727,0,7.9
17356,75,Critical - Priority Outreach,311,1,178.22,9.38,0,10.4
17349,75,Critical - Priority Outreach,178,1,98.25,12.28125,0,5.9
13187,75,Critical - Priority Outreach,336,1,236.02,6.378918919,0,11.2
17343,75,Critical - Priority Outreach,354,1,193.64,11.39058824,0,11.8
13210,75,Critical - Priority Outreach,93,1,353.48,16.06727273,0,3.1
13218,75,Critical - Priority Outreach,126,1,62.64,12.528,0,4.2
17325,75,Critical - Priority Outreach,279,1,96.8,16.13333333,0,9.3
13226,75,Critical - Priority Outreach,272,1,108.21,6.763125,0,9.1
13229,75,Critical - Priority Outreach,225,1,160.95,16.095,0,7.5
12447,75,Critical - Priority Outreach,242,1,476.49,18.32653846,0,8.1
13239,75,Critical - Priority Outreach,261,1,329.56,14.98,0,8.7
17309,75,Critical - Priority Outreach,94,1,82.75,6.895833333,0,3.1
13243,75,Critical - Priority Outreach,202,1,585.12,10.26526316,0,6.7
13244,75,Critical - Priority Outreach,92,1,121.74,4.508888889,0,3.1
12453,75,Critical - Priority Outreach,133,1,707.09,16.44395349,0,4.4
17303,75,Critical - Priority Outreach,360,1,250.04,4.717735849,0,12
17278,75,Critical - Priority Outreach,240,1,246.04,16.40266667,0,8
17263,75,Critical - Priority Outreach,207,1,63.44,2.75826087,0,6.9
13262,75,Critical - Priority Outreach,262,1,200.29,18.20818182,0,8.7
17251,75,Critical - Priority Outreach,362,1,269.83,7.292702703,0,12.1
17248,75,Critical - Priority Outreach,119,1,318.65,4.618115942,0,4
17245,75,Critical - Priority Outreach,204,1,171.45,19.05,0,6.8
13273,75,Critical - Priority Outreach,112,1,138.98,8.68625,0,3.7
17234,75,Critical - Priority Outreach,182,1,149.89,10.70642857,0,6.1
13291,75,Critical - Priority Outreach,155,1,361.11,8.597857143,0,5.2
13296,75,Critical - Priority Outreach,136,1,87.4,17.48,0,4.5
12354,75,Critical - Priority Outreach,231,1,1079.4,18.61034483,0,7.7
13304,75,Critical - Priority Outreach,350,1,300.42,14.30571429,0,11.7
13307,75,Critical - Priority Outreach,119,1,15,15,0,4
17226,75,Critical - Priority Outreach,308,1,393.49,18.73761905,0,10.3
17217,75,Critical - Priority Outreach,233,1,113.5,12.61111111,0,7.8
17174,75,Critical - Priority Outreach,217,1,59.9,14.975,0,7.2
17171,75,Critical - Priority Outreach,288,1,224.91,14.056875,0,9.6
13339,75,Critical - Priority Outreach,200,1,860.12,15.92814815,0,6.7
13341,75,Critical - Priority Outreach,260,1,775.85,18.47261905,0,8.7
18138,75,Critical - Priority Outreach,294,1,152.65,19.08125,0,9.8
17165,75,Critical - Priority Outreach,283,1,158.68,15.868,0,9.4
17138,75,Critical - Priority Outreach,275,1,380.5,15.85416667,0,9.2
17128,75,Critical - Priority Outreach,334,1,157.09,11.22071429,0,11.1
13357,75,Critical - Priority Outreach,256,1,609.4,6.847191011,0,8.5
13358,75,Critical - Priority Outreach,268,1,439.03,15.13896552,0,8.9
17124,75,Critical - Priority Outreach,184,1,294.24,9.491612903,0,6.1
17122,75,Critical - Priority Outreach,118,1,138.32,19.76,0,3.9
17120,75,Critical - Priority Outreach,232,1,307.46,17.08111111,0,7.7
17118,75,Critical - Priority Outreach,317,1,157.02,15.702,0,10.6
18129,75,Critical - Priority Outreach,242,1,112.55,8.039285714,0,8.1
13382,75,Critical - Priority Outreach,280,1,222.99,14.866,0,9.3
13385,75,Critical - Priority Outreach,329,1,534.57,15.27342857,0,11
18120,75,Critical - Priority Outreach,213,1,111.15,6.538235294,0,7.1
17117,75,Critical - Priority Outreach,287,1,116.2,12.91111111,0,9.6
13395,75,Critical - Priority Outreach,184,1,307.72,14.65333333,0,6.1
13398,75,Critical - Priority Outreach,191,1,457.34,17.59,0,6.4
18119,75,Critical - Priority Outreach,367,1,180.7,6.231034483,0,12.2
13411,75,Critical - Priority Outreach,106,1,213.55,11.86388889,0,3.5
17110,75,Critical - Priority Outreach,164,1,163.3,13.60833333,0,5.5
18114,75,Critical - Priority Outreach,289,1,220.1,7.860714286,0,9.6
17070,75,Critical - Priority Outreach,113,1,304.24,4.907096774,0,3.8
17051,75,Critical - Priority Outreach,193,1,240.89,5.73547619,0,6.4
13439,75,Critical - Priority Outreach,254,1,283.71,5.253888889,0,8.5
13474,75,Critical - Priority Outreach,235,1,226.84,3.658709677,0,7.8
18106,75,Critical - Priority Outreach,329,1,421.9,11.4027027,0,11
16967,75,Critical - Priority Outreach,188,1,319.02,15.19142857,0,6.3
16965,75,Critical - Priority Outreach,226,1,201.19,7.738076923,0,7.5
13482,75,Critical - Priority Outreach,231,1,184.64,16.78545455,0,7.7
16963,75,Critical - Priority Outreach,186,1,110.55,15.79285714,0,6.2
13485,75,Critical - Priority Outreach,232,1,454.24,19.74956522,0,7.7
16961,75,Critical - Priority Outreach,115,1,234.17,16.72642857,0,3.8
16947,75,Critical - Priority Outreach,235,1,406.48,19.35619048,0,7.8
16926,75,Critical - Priority Outreach,370,1,230.25,16.44642857,0,12.3
13494,75,Critical - Priority Outreach,311,1,316.26,17.57,0,10.4
16913,75,Critical - Priority Outreach,289,1,113.44,14.18,0,9.6
13508,75,Critical - Priority Outreach,243,1,110.97,9.2475,0,8.1
13512,75,Critical - Priority Outreach,260,1,251.21,16.74733333,0,8.7
16893,75,Critical - Priority Outreach,366,1,145.93,3.242888889,0,12.2
18099,75,Critical - Priority Outreach,126,1,168.31,8.858421053,0,4.2
16850,75,Critical - Priority Outreach,333,1,332.41,17.49526316,0,11.1
13561,75,Critical - Priority Outreach,215,1,141.86,10.13285714,0,7.2
16849,75,Critical - Priority Outreach,186,1,124.57,15.57125,0,6.2
13568,75,Critical - Priority Outreach,172,1,187.05,4.35,0,5.7
13570,75,Critical - Priority Outreach,242,1,239.49,8.87,0,8.1
13581,75,Critical - Priority Outreach,308,1,118,11.8,0,10.3
13583,75,Critical - Priority Outreach,155,1,781.03,14.73641509,0,5.2
13584,75,Critical - Priority Outreach,306,1,142.4,5.933333333,0,10.2
16834,75,Critical - Priority Outreach,227,1,413.46,17.2275,0,7.6
16829,75,Critical - Priority Outreach,156,1,197.22,17.92909091,0,5.2
13600,75,Critical - Priority Outreach,311,1,219.52,11.55368421,0,10.4
16823,75,Critical - Priority Outreach,226,1,358.38,9.431052632,0,7.5
16820,75,Critical - Priority Outreach,95,1,497.61,19.13884615,0,3.2
12506,75,Critical - Priority Outreach,232,1,73.5,3.195652174,0,7.7
13618,75,Critical - Priority Outreach,173,1,177.34,13.64153846,0,5.8
13621,75,Critical - Priority Outreach,116,1,213.85,11.25526316,0,3.9
13626,75,Critical - Priority Outreach,252,1,257.23,13.53842105,0,8.4
16795,75,Critical - Priority Outreach,364,1,414.88,6.286060606,0,12.1
16769,75,Critical - Priority Outreach,259,1,361.54,9.514210526,0,8.6
13642,75,Critical - Priority Outreach,215,1,312.28,5.478596491,0,7.2
18086,75,Critical - Priority Outreach,273,1,101.34,14.47714286,0,9.1
13663,75,Critical - Priority Outreach,178,1,189.47,14.57461538,0,5.9
13667,75,Critical - Priority Outreach,148,1,299.05,3.603012048,0,4.9
16757,75,Critical - Priority Outreach,318,1,106.83,15.26142857,0,10.6
16756,75,Critical - Priority Outreach,214,1,239.4,18.41538462,0,7.1
12514,75,Critical - Priority Outreach,266,1,1017.68,19.9545098,0,8.9
13678,75,Critical - Priority Outreach,151,1,232.6,14.5375,0,5
13682,75,Critical - Priority Outreach,186,1,59.5,19.83333333,0,6.2
13686,75,Critical - Priority Outreach,182,1,72,9,0,6.1
13706,75,Critical - Priority Outreach,302,1,330.79,16.5395,0,10.1
13708,75,Critical - Priority Outreach,270,1,285.33,5.823061224,0,9
13716,75,Critical - Priority Outreach,268,1,138.28,6.584761905,0,8.9
16738,75,Critical - Priority Outreach,297,1,3.75,3.75,0,9.9
12521,75,Critical - Priority Outreach,142,1,599.68,15.78105263,0,4.7
16727,75,Critical - Priority Outreach,363,1,256.32,5.825454545,0,12.1
16721,75,Critical - Priority Outreach,261,1,292.47,7.904594595,0,8.7
16718,75,Critical - Priority Outreach,368,1,606.05,13.77386364,0,12.3
16697,75,Critical - Priority Outreach,240,1,112.75,5.369047619,0,8
16665,75,Critical - Priority Outreach,361,1,135.4,15.04444444,0,12
13737,75,Critical - Priority Outreach,199,1,339.6,11.32,0,6.6
13740,75,Critical - Priority Outreach,240,1,350.75,15.25,0,8
12534,75,Critical - Priority Outreach,130,1,1089.18,17.28857143,0,4.3
18056,75,Critical - Priority Outreach,287,1,363.65,19.13947368,0,9.6
16659,75,Critical - Priority Outreach,188,1,39.12,19.56,0,6.3
18050,75,Critical - Priority Outreach,358,1,74.4,14.88,0,11.9
16658,75,Critical - Priority Outreach,367,1,123.24,15.405,0,12.2
16643,75,Critical - Priority Outreach,245,1,487.51,18.05592593,0,8.2
13778,75,Critical - Priority Outreach,102,1,178.7,19.85555556,0,3.4
13781,75,Critical - Priority Outreach,250,1,127.84,7.52,0,8.3
16641,75,Critical - Priority Outreach,105,1,231.1,19.25833333,0,3.5
18032,75,Critical - Priority Outreach,333,1,73.5,14.7,0,11.1
13800,75,Critical - Priority Outreach,309,1,558.32,16.91878788,0,10.3
16625,75,Critical - Priority Outreach,274,1,333.08,14.48173913,0,9.1
13803,75,Critical - Priority Outreach,254,1,277.07,16.29823529,0,8.5
13807,75,Critical - Priority Outreach,366,1,112.6,16.08571429,0,12.2
13809,75,Critical - Priority Outreach,304,1,155.05,12.92083333,0,10.1
12548,75,Critical - Priority Outreach,165,1,95.2,19.04,0,5.5
18027,75,Critical - Priority Outreach,98,1,115.31,5.490952381,0,3.3
16614,75,Critical - Priority Outreach,182,1,506.19,19.46884615,0,6.1
13833,75,Critical - Priority Outreach,158,1,383.85,13.70892857,0,5.3
12551,75,Critical - Priority Outreach,357,1,168,16.8,0,11.9
16610,75,Critical - Priority Outreach,218,1,75.66,12.61,0,7.3
16587,75,Critical - Priority Outreach,231,1,225.15,17.31923077,0,7.7
16583,75,Critical - Priority Outreach,373,1,233.45,16.675,0,12.4
13859,75,Critical - Priority Outreach,325,1,201.16,7.184285714,0,10.8
18011,75,Critical - Priority Outreach,372,1,102.79,3.671071429,0,12.4
18010,75,Critical - Priority Outreach,256,1,174.8,12.48571429,0,8.5
12561,75,Critical - Priority Outreach,302,1,238.85,14.928125,0,10.1
13887,75,Critical - Priority Outreach,203,1,349.55,18.39736842,0,6.8
12361,75,Critical - Priority Outreach,286,1,189.9,18.99,0,9.5
16529,75,Critical - Priority Outreach,189,1,455.25,15.175,0,6.3
13898,75,Critical - Priority Outreach,325,1,155.93,12.99416667,0,10.8
12573,75,Critical - Priority Outreach,226,1,160.54,5.733571429,0,7.5
16526,75,Critical - Priority Outreach,171,1,290.36,19.35733333,0,5.7
16517,75,Critical - Priority Outreach,276,1,162.7,9.570588235,0,9.2
16510,75,Critical - Priority Outreach,371,1,248.1,19.08461538,0,12.4
16494,75,Critical - Priority Outreach,296,1,826.53,16.5306,0,9.9
16483,75,Critical - Priority Outreach,191,1,139.35,7.334210526,0,6.4
13932,75,Critical - Priority Outreach,294,1,307.4,19.2125,0,9.8
16471,75,Critical - Priority Outreach,274,1,223.95,17.22692308,0,9.1
12574,75,Critical - Priority Outreach,315,1,218.45,19.85909091,0,10.5
13937,75,Critical - Priority Outreach,168,1,158.85,17.65,0,5.6
16461,75,Critical - Priority Outreach,177,1,142.92,4.46625,0,5.9
12580,75,Critical - Priority Outreach,246,1,415.7,17.32083333,0,8.2
18004,75,Critical - Priority Outreach,361,1,157.92,4.268108108,0,12
16448,75,Critical - Priority Outreach,197,1,182.99,9.631052632,0,6.6
16447,75,Critical - Priority Outreach,135,1,255.91,7.526764706,0,4.5
16425,75,Critical - Priority Outreach,301,1,302.7,14.41428571,0,10
16400,75,Critical - Priority Outreach,94,1,303.93,10.48034483,0,3.1
13990,75,Critical - Priority Outreach,212,1,311.3,19.45625,0,7.1
16392,75,Critical - Priority Outreach,269,1,217.89,5.067209302,0,9
16351,75,Critical - Priority Outreach,332,1,153.9,19.2375,0,11.1
12591,75,Critical - Priority Outreach,316,1,452.85,17.41730769,0,10.5
16349,75,Critical - Priority Outreach,290,1,53.5,5.944444444,0,9.7
16340,75,Critical - Priority Outreach,106,1,534.31,3.789432624,0,3.5
14022,75,Critical - Priority Outreach,224,1,440,15.71428571,0,7.5
16339,75,Critical - Priority Outreach,283,1,94.05,5.225,0,9.4
16338,75,Critical - Priority Outreach,156,1,214.8,19.52727273,0,5.2
14036,75,Critical - Priority Outreach,284,1,626.65,16.49078947,0,9.5
17987,75,Critical - Priority Outreach,184,1,198.57,15.27461538,0,6.1
14041,75,Critical - Priority Outreach,265,1,141.41,6.733809524,0,8.8
16315,75,Critical - Priority Outreach,330,1,226.37,16.16928571,0,11
14046,75,Critical - Priority Outreach,283,1,154.99,11.07071429,0,9.4
16305,75,Critical - Priority Outreach,138,1,361.22,16.41909091,0,4.6
16287,75,Critical - Priority Outreach,169,1,142.5,17.8125,0,5.6
16282,75,Critical - Priority Outreach,339,1,168.3,15.3,0,11.3
14068,75,Critical - Priority Outreach,319,1,265.85,11.07708333,0,10.6
14076,75,Critical - Priority Outreach,128,1,118.67,2.697045455,0,4.3
18281,75,Critical - Priority Outreach,180,1,80.82,11.54571429,0,6
16275,75,Critical - Priority Outreach,196,1,559.87,16.96575758,0,6.5
14082,75,Critical - Priority Outreach,364,1,182.25,6.284482759,0,12.1
16274,75,Critical - Priority Outreach,372,1,351.75,5.411538462,0,12.4
16272,75,Critical - Priority Outreach,116,1,411.7,16.468,0,3.9
