customerid,lifetime_value,total_orders,customer_life_days,customer_percentile,revenue_contribution_pct,segment
13881,17159.52,22,308,1.22,33.88,Top 20% (Core Revenue)
16839,16594.35,39,360,1.24,34.07,Top 20% (Core Revenue)
12921,16587.09,50,369,1.27,34.25,Top 20% (Core Revenue)
17677,16345.38,43,367,1.29,34.44,Top 20% (Core Revenue)
15189,16225.39,53,331,1.31,34.62,Top 20% (Core Revenue)
14607,16209.5,17,245,1.34,34.8,Top 20% (Core Revenue)
15856,16143.64,31,361,1.36,34.98,Top 20% (Core Revenue)
14051,15610.39,26,365,1.38,35.16,Top 20% (Core Revenue)
15513,14758.22,22,342,1.41,35.33,Top 20% (Core Revenue)
16133,14589.04,46,314,1.43,35.49,Top 20% (Core Revenue)
14866,14389.9,13,355,1.45,35.65,Top 20% (Core Revenue)
16705,14034.99,29,358,1.48,35.81,Top 20% (Core Revenue)
12681,13787.54,27,353,1.5,35.96,Top 20% (Core Revenue)
12621,13689.67,23,364,1.52,36.12,Top 20% (Core Revenue)
12540,13400.24,19,342,1.54,36.27,Top 20% (Core Revenue)
12433,13375.87,7,372,1.57,36.42,Top 20% (Core Revenue)
15498,13316.4,35,366,1.59,36.57,Top 20% (Core Revenue)
12477,13219.74,9,288,1.61,36.72,Top 20% (Core Revenue)
17735,13110.02,19,365,1.64,36.87,Top 20% (Core Revenue)
16525,13027.45,29,364,1.66,37.01,Top 20% (Core Revenue)
14258,12669.98,10,328,1.68,37.16,Top 20% (Core Revenue)
13078,12627.94,43,365,1.71,37.3,Top 20% (Core Revenue)
12536,12601.83,5,51,1.73,37.44,Top 20% (Core Revenue)
15640,12416.11,17,367,1.75,37.58,Top 20% (Core Revenue)
16000,12393.7,3,0,1.78,37.72,Top 20% (Core Revenue)
17340,12353.29,16,357,1.8,37.86,Top 20% (Core Revenue)
12682,12279.82,31,367,1.82,38,Top 20% (Core Revenue)
13113,12245.96,40,365,1.84,38.13,Top 20% (Core Revenue)
14606,12076.15,128,372,1.87,38.27,Top 20% (Core Revenue)
12557,11990.96,5,355,1.89,38.4,Top 20% (Core Revenue)
12939,11581.8,8,270,1.91,38.53,Top 20% (Core Revenue)
15125,11528.48,23,245,1.94,38.66,Top 20% (Core Revenue)
14194,11349.52,32,303,1.96,38.79,Top 20% (Core Revenue)
12971,11189.91,89,368,1.98,38.92,Top 20% (Core Revenue)
14895,11138.71,24,314,2.01,39.04,Top 20% (Core Revenue)
12409,11072.67,7,103,2.03,39.17,Top 20% (Core Revenue)
17581,11025.24,31,371,2.05,39.29,Top 20% (Core Revenue)
15482,10879.76,16,343,2.07,39.41,Top 20% (Core Revenue)
13319,10845.55,36,362,2.1,39.54,Top 20% (Core Revenue)
17107,10797.48,7,245,2.12,39.66,Top 20% (Core Revenue)
13340,10736.48,7,231,2.14,39.78,Top 20% (Core Revenue)
17139,10650.77,15,273,2.17,39.9,Top 20% (Core Revenue)
16779,10611.72,28,364,2.19,40.02,Top 20% (Core Revenue)
17865,10526.32,27,333,2.21,40.14,Top 20% (Core Revenue)
17706,10504.49,22,362,2.24,40.25,Top 20% (Core Revenue)
15251,10484.99,15,232,2.26,40.37,Top 20% (Core Revenue)
14062,10464.85,12,354,2.28,40.49,Top 20% (Core Revenue)
14769,10416.98,10,354,2.31,40.61,Top 20% (Core Revenue)
15615,10399.74,27,348,2.33,40.72,Top 20% (Core Revenue)
15502,10384.93,23,353,2.35,40.84,Top 20% (Core Revenue)
16180,10254.18,10,152,2.37,40.96,Top 20% (Core Revenue)
16843,10196.57,17,284,2.4,41.07,Top 20% (Core Revenue)
12590,9864.26,3,20,2.42,41.18,Top 20% (Core Revenue)
13199,9817.12,39,363,2.44,41.29,Top 20% (Core Revenue)
13001,9785.97,15,322,2.47,41.4,Top 20% (Core Revenue)
15078,9743.11,38,361,2.49,41.51,Top 20% (Core Revenue)
12709,9706.52,26,363,2.51,41.62,Top 20% (Core Revenue)
13458,9646.57,22,352,2.54,41.73,Top 20% (Core Revenue)
14733,9585.91,15,358,2.56,41.84,Top 20% (Core Revenue)
16523,9418.47,28,313,2.58,41.94,Top 20% (Core Revenue)
12567,9401.28,11,346,2.6,42.05,Top 20% (Core Revenue)
14367,9227.82,19,267,2.63,42.15,Top 20% (Core Revenue)
14667,9175.04,27,357,2.65,42.26,Top 20% (Core Revenue)
18092,9068.26,12,363,2.67,42.36,Top 20% (Core Revenue)
12451,9035.52,6,313,2.7,42.46,Top 20% (Core Revenue)
13969,9024.17,20,357,2.72,42.56,Top 20% (Core Revenue)
13488,8968.31,17,350,2.74,42.66,Top 20% (Core Revenue)
13090,8910.82,18,364,2.77,42.76,Top 20% (Core Revenue)
16033,8778.82,27,364,2.79,42.86,Top 20% (Core Revenue)
17017,8694.26,27,369,2.81,42.96,Top 20% (Core Revenue)
17306,8631.31,21,342,2.84,43.06,Top 20% (Core Revenue)
16656,8625.8,21,342,2.86,43.15,Top 20% (Core Revenue)
17243,8540.05,30,368,2.88,43.25,Top 20% (Core Revenue)
14527,8507.13,86,371,2.9,43.35,Top 20% (Core Revenue)
12683,8476.57,20,361,2.93,43.44,Top 20% (Core Revenue)
18139,8438.34,8,1,2.95,43.54,Top 20% (Core Revenue)
15358,8347.2,29,360,2.97,43.63,Top 20% (Core Revenue)
16558,8338.49,24,365,3,43.72,Top 20% (Core Revenue)
14056,8152.71,29,282,3.02,43.82,Top 20% (Core Revenue)
14936,8137.02,9,266,3.04,43.91,Top 20% (Core Revenue)
16672,8134.94,23,264,3.07,44,Top 20% (Core Revenue)
13854,8109.52,29,356,3.09,44.09,Top 20% (Core Revenue)
14952,8099.49,15,320,3.11,44.18,Top 20% (Core Revenue)
18109,8004.92,31,368,3.14,44.27,Top 20% (Core Revenue)
14796,7975.49,27,365,3.16,44.36,Top 20% (Core Revenue)
12428,7956.46,12,257,3.18,44.45,Top 20% (Core Revenue)
15290,7943.22,21,354,3.2,44.54,Top 20% (Core Revenue)
14849,7930.54,28,351,3.23,44.63,Top 20% (Core Revenue)
12757,7834.65,19,195,3.25,44.72,Top 20% (Core Revenue)
13093,7832.47,13,106,3.27,44.81,Top 20% (Core Revenue)
12435,7829.89,2,188,3.3,44.89,Top 20% (Core Revenue)
13629,7792.36,11,315,3.32,44.98,Top 20% (Core Revenue)
17811,7761.82,51,329,3.34,45.07,Top 20% (Core Revenue)
15044,7634.73,22,342,3.37,45.15,Top 20% (Core Revenue)
15194,7616.53,22,365,3.39,45.24,Top 20% (Core Revenue)
18172,7561.68,25,279,3.41,45.33,Top 20% (Core Revenue)
13263,7436.93,35,323,3.43,45.41,Top 20% (Core Revenue)
12980,7374.9,12,203,3.46,45.49,Top 20% (Core Revenue)
15465,7354.62,24,349,3.48,45.57,Top 20% (Core Revenue)
17396,7330.8,8,332,3.5,45.66,Top 20% (Core Revenue)
12474,7324.09,30,351,3.53,45.74,Top 20% (Core Revenue)
12583,7281.38,18,370,3.55,45.82,Top 20% (Core Revenue)
13018,7277.7,29,279,3.57,45.9,Top 20% (Core Revenue)
18229,7276.9,20,361,3.6,45.99,Top 20% (Core Revenue)
16729,7205.33,26,205,3.62,46.07,Top 20% (Core Revenue)
16745,7180.7,18,225,3.64,46.15,Top 20% (Core Revenue)
16873,7123.62,10,359,3.67,46.23,Top 20% (Core Revenue)
13324,7121.95,12,328,3.69,46.31,Top 20% (Core Revenue)
16923,7069.08,26,350,3.71,46.39,Top 20% (Core Revenue)
13985,7060.13,16,260,3.73,46.47,Top 20% (Core Revenue)
14961,7044.68,12,349,3.76,46.55,Top 20% (Core Revenue)
12766,6989.63,7,362,3.78,46.62,Top 20% (Core Revenue)
12798,6977.04,3,160,3.8,46.7,Top 20% (Core Revenue)
12989,6924.11,19,361,3.83,46.78,Top 20% (Core Revenue)
13027,6912,6,240,3.85,46.86,Top 20% (Core Revenue)
16187,6911.44,17,252,3.87,46.94,Top 20% (Core Revenue)
16713,6910.78,21,348,3.9,47.01,Top 20% (Core Revenue)
17416,6893.42,9,251,3.92,47.09,Top 20% (Core Revenue)
12705,6868.29,14,341,3.94,47.17,Top 20% (Core Revenue)
12476,6816.42,20,359,3.96,47.25,Top 20% (Core Revenue)
12830,6814.64,7,134,3.99,47.32,Top 20% (Core Revenue)
15601,6776.56,17,361,4.01,47.4,Top 20% (Core Revenue)
16652,6773.97,11,219,4.03,47.47,Top 20% (Core Revenue)
18055,6761.34,11,362,4.06,47.55,Top 20% (Core Revenue)
16532,6748.8,3,320,4.08,47.63,Top 20% (Core Revenue)
15023,6720.41,12,366,4.1,47.7,Top 20% (Core Revenue)
13576,6717.34,20,362,4.13,47.78,Top 20% (Core Revenue)
15249,6688.46,15,224,4.15,47.85,Top 20% (Core Revenue)
16746,6680.11,19,354,4.17,47.93,Top 20% (Core Revenue)
16353,6675.71,23,366,4.2,48,Top 20% (Core Revenue)
12626,6620.48,13,303,4.22,48.08,Top 20% (Core Revenue)
16182,6617.65,4,222,4.24,48.15,Top 20% (Core Revenue)
15144,6580.44,18,304,4.26,48.23,Top 20% (Core Revenue)
12472,6572.11,13,342,4.29,48.3,Top 20% (Core Revenue)
17338,6493.54,10,344,4.31,48.37,Top 20% (Core Revenue)
18223,6484.54,27,356,4.33,48.45,Top 20% (Core Revenue)
15694,6479.4,15,372,4.36,48.52,Top 20% (Core Revenue)
13225,6463.84,8,358,4.38,48.59,Top 20% (Core Revenue)
13102,6424.09,27,363,4.4,48.66,Top 20% (Core Revenue)
12431,6419.95,18,338,4.43,48.74,Top 20% (Core Revenue)
16814,6416.7,22,355,4.45,48.81,Top 20% (Core Revenue)
13871,6403.25,14,286,4.47,48.88,Top 20% (Core Revenue)
12359,6310.03,6,323,4.5,48.95,Top 20% (Core Revenue)
13668,6309.83,29,359,4.52,49.02,Top 20% (Core Revenue)
13709,6307.65,17,311,4.54,49.09,Top 20% (Core Revenue)
15005,6295.37,35,350,4.56,49.16,Top 20% (Core Revenue)
16126,6287.77,4,267,4.59,49.24,Top 20% (Core Revenue)
17315,6281.23,43,356,4.61,49.31,Top 20% (Core Revenue)
14057,6211.66,18,336,4.63,49.38,Top 20% (Core Revenue)
12357,6207.67,1,0,4.66,49.45,Top 20% (Core Revenue)
14060,6140.42,20,368,4.68,49.52,Top 20% (Core Revenue)
13418,6127.43,23,360,4.7,49.58,Top 20% (Core Revenue)
15939,6115.01,16,241,4.73,49.65,Top 20% (Core Revenue)
17509,6083.64,11,5,4.75,49.72,Top 20% (Core Revenue)
14735,6065.69,34,354,4.77,49.79,Top 20% (Core Revenue)
13097,6003.22,14,327,4.79,49.86,Top 20% (Core Revenue)
12637,6002.9,10,256,4.82,49.92,Top 20% (Core Revenue)
14101,5976.79,6,252,4.84,49.99,Top 20% (Core Revenue)
15382,5955.71,8,280,4.86,50.06,Top 20% (Core Revenue)
14944,5900.25,14,322,4.89,50.13,Top 20% (Core Revenue)
13209,5891.61,11,331,4.91,50.19,Top 20% (Core Revenue)
13534,5870.08,43,355,4.93,50.26,Top 20% (Core Revenue)
14505,5859.43,11,344,4.96,50.32,Top 20% (Core Revenue)
14415,5855.57,18,359,4.98,50.39,Top 20% (Core Revenue)
13050,5836.86,28,357,5,50.46,Top 20% (Core Revenue)
12720,5781.73,29,366,5.03,50.52,Top 20% (Core Revenue)
15218,5756.89,11,308,5.05,50.58,Top 20% (Core Revenue)
17686,5739.46,7,295,5.07,50.65,Top 20% (Core Revenue)
13316,5732.93,5,217,5.09,50.71,Top 20% (Core Revenue)
13178,5725.47,11,334,5.12,50.78,Top 20% (Core Revenue)
16553,5719.82,14,203,5.14,50.84,Top 20% (Core Revenue)
13468,5704.97,41,371,5.16,50.91,Top 20% (Core Revenue)
14110,5683.15,13,263,5.19,50.97,Top 20% (Core Revenue)
17716,5655.99,12,245,5.21,51.03,Top 20% (Core Revenue)
13004,5655.91,22,346,5.23,51.1,Top 20% (Core Revenue)
17049,5655.03,11,273,5.26,51.16,Top 20% (Core Revenue)
18118,5625.08,31,358,5.28,51.23,Top 20% (Core Revenue)
17757,5593.39,31,370,5.3,51.29,Top 20% (Core Revenue)
12839,5591.42,16,364,5.33,51.35,Top 20% (Core Revenue)
12481,5579.82,11,342,5.35,51.41,Top 20% (Core Revenue)
14688,5579.1,27,366,5.37,51.48,Top 20% (Core Revenue)
14049,5578.72,6,301,5.39,51.54,Top 20% (Core Revenue)
16767,5575.56,11,285,5.42,51.6,Top 20% (Core Revenue)
12539,5568.35,5,311,5.44,51.66,Top 20% (Core Revenue)
16161,5533.67,26,367,5.46,51.73,Top 20% (Core Revenue)
18225,5504.96,17,368,5.49,51.79,Top 20% (Core Revenue)
16609,5493.46,9,237,5.51,51.85,Top 20% (Core Revenue)
15805,5488.18,20,341,5.53,51.91,Top 20% (Core Revenue)
16985,5464.12,11,341,5.56,51.97,Top 20% (Core Revenue)
16265,5447,11,355,5.58,52.04,Top 20% (Core Revenue)
18198,5425.56,21,332,5.6,52.1,Top 20% (Core Revenue)
12490,5417.93,10,324,5.62,52.16,Top 20% (Core Revenue)
17809,5411.91,15,357,5.65,52.22,Top 20% (Core Revenue)
16701,5398.3,18,352,5.67,52.28,Top 20% (Core Revenue)
17719,5396.04,18,217,5.69,52.34,Top 20% (Core Revenue)
17850,5391.21,35,71,5.72,52.4,Top 20% (Core Revenue)
16303,5360.63,4,307,5.74,52.46,Top 20% (Core Revenue)
13269,5343.28,17,368,5.76,52.52,Top 20% (Core Revenue)
17730,5298.48,15,323,5.79,52.58,Top 20% (Core Revenue)
15150,5291.33,11,251,5.81,52.64,Top 20% (Core Revenue)
17061,5232.23,12,158,5.83,52.7,Top 20% (Core Revenue)
18226,5228.05,14,299,5.86,52.76,Top 20% (Core Revenue)
12362,5226.23,13,292,5.88,52.82,Top 20% (Core Revenue)
16258,5203.51,5,173,5.9,52.87,Top 20% (Core Revenue)
13756,5189.52,15,365,5.92,52.93,Top 20% (Core Revenue)
16191,5180.52,25,357,5.95,52.99,Top 20% (Core Revenue)
15727,5159.06,7,342,5.97,53.05,Top 20% (Core Revenue)
13599,5149.92,33,365,5.99,53.11,Top 20% (Core Revenue)
17858,5140.66,12,363,6.02,53.17,Top 20% (Core Revenue)
15903,5126.76,8,285,6.04,53.22,Top 20% (Core Revenue)
13941,5112.96,7,350,6.06,53.28,Top 20% (Core Revenue)
15046,5090.42,16,329,6.09,53.34,Top 20% (Core Revenue)
16700,5076.55,17,357,6.11,53.4,Top 20% (Core Revenue)
13139,5064.94,8,243,6.13,53.45,Top 20% (Core Revenue)
12432,5059.32,5,129,6.15,53.51,Top 20% (Core Revenue)
17602,5054.42,8,321,6.18,53.57,Top 20% (Core Revenue)
15301,5049.95,14,317,6.2,53.62,Top 20% (Core Revenue)
17426,5037.26,7,277,6.22,53.68,Top 20% (Core Revenue)
15719,5030.07,14,304,6.25,53.74,Top 20% (Core Revenue)
14755,5010.28,12,324,6.27,53.79,Top 20% (Core Revenue)
14562,5006.77,22,300,6.29,53.85,Top 20% (Core Revenue)
12444,5005.46,5,149,6.32,53.91,Top 20% (Core Revenue)
14329,4975.24,14,320,6.34,53.96,Top 20% (Core Revenue)
15032,4959.1,5,110,6.36,54.02,Top 20% (Core Revenue)
12437,4951.41,19,329,6.39,54.07,Top 20% (Core Revenue)
12700,4939.99,6,207,6.41,54.13,Top 20% (Core Revenue)
14709,4921.04,14,343,6.43,54.18,Top 20% (Core Revenue)
15786,4919,5,70,6.45,54.24,Top 20% (Core Revenue)
15547,4910.6,14,354,6.48,54.29,Top 20% (Core Revenue)
17133,4892.24,7,250,6.5,54.35,Top 20% (Core Revenue)
12664,4881.88,10,314,6.52,54.4,Top 20% (Core Revenue)
12688,4873.81,1,0,6.55,54.46,Top 20% (Core Revenue)
14292,4871.93,14,318,6.57,54.51,Top 20% (Core Revenue)
17652,4867.72,18,255,6.59,54.57,Top 20% (Core Revenue)
15738,4812.42,19,353,6.62,54.62,Top 20% (Core Revenue)
13013,4810.94,15,370,6.64,54.68,Top 20% (Core Revenue)
15298,4799.9,14,364,6.66,54.73,Top 20% (Core Revenue)
15555,4794.86,20,357,6.69,54.78,Top 20% (Core Revenue)
15187,4777.18,18,210,6.71,54.84,Top 20% (Core Revenue)
17365,4767.36,8,320,6.73,54.89,Top 20% (Core Revenue)
12955,4757.16,14,266,6.75,54.95,Top 20% (Core Revenue)
14180,4748.52,31,361,6.78,55,Top 20% (Core Revenue)
15152,4745.69,16,177,6.8,55.05,Top 20% (Core Revenue)
16722,4730.81,16,351,6.82,55.11,Top 20% (Core Revenue)
17690,4726.8,16,342,6.85,55.16,Top 20% (Core Revenue)
12714,4708.86,5,285,6.87,55.21,Top 20% (Core Revenue)
14135,4690.31,15,371,6.89,55.26,Top 20% (Core Revenue)
14191,4684.76,14,218,6.92,55.32,Top 20% (Core Revenue)
15291,4668.3,20,348,6.94,55.37,Top 20% (Core Revenue)
14189,4654.08,24,366,6.96,55.42,Top 20% (Core Revenue)
14390,4642.57,13,362,6.98,55.47,Top 20% (Core Revenue)
14159,4630.35,14,343,7.01,55.53,Top 20% (Core Revenue)
14286,4628.75,5,219,7.03,55.58,Top 20% (Core Revenue)
13802,4599.42,6,222,7.05,55.63,Top 20% (Core Revenue)
15093,4597.02,9,353,7.08,55.68,Top 20% (Core Revenue)
14004,4582.64,7,245,7.1,55.73,Top 20% (Core Revenue)
16931,4554.87,21,364,7.12,55.79,Top 20% (Core Revenue)
17068,4552.14,22,355,7.15,55.84,Top 20% (Core Revenue)
17613,4544.55,17,282,7.17,55.89,Top 20% (Core Revenue)
12484,4527.32,8,303,7.19,55.94,Top 20% (Core Revenue)
13267,4521.49,27,364,7.22,55.99,Top 20% (Core Revenue)
15299,4507.01,11,304,7.24,56.04,Top 20% (Core Revenue)
12524,4485.72,8,324,7.26,56.09,Top 20% (Core Revenue)
17975,4483.26,14,351,7.28,56.14,Top 20% (Core Revenue)
14426,4481.67,16,340,7.31,56.19,Top 20% (Core Revenue)
12627,4478.53,7,129,7.33,56.24,Top 20% (Core Revenue)
17364,4462.68,12,330,7.35,56.29,Top 20% (Core Revenue)
16984,4459.52,5,52,7.38,56.34,Top 20% (Core Revenue)
13069,4431.44,27,368,7.4,56.39,Top 20% (Core Revenue)
14085,4421.29,19,366,7.42,56.44,Top 20% (Core Revenue)
15955,4416.26,16,348,7.45,56.49,Top 20% (Core Revenue)
16626,4413.1,20,265,7.47,56.54,Top 20% (Core Revenue)
15874,4405.88,9,220,7.49,56.59,Top 20% (Core Revenue)
14534,4397.3,25,316,7.51,56.64,Top 20% (Core Revenue)
12712,4396.13,17,348,7.54,56.69,Top 20% (Core Revenue)
13505,4393.63,8,165,7.56,56.74,Top 20% (Core Revenue)
12752,4366.78,1,0,7.58,56.79,Top 20% (Core Revenue)
16945,4345.5,19,336,7.61,56.84,Top 20% (Core Revenue)
14016,4341.21,5,203,7.63,56.89,Top 20% (Core Revenue)
14800,4331.79,16,322,7.65,56.93,Top 20% (Core Revenue)
17567,4331.48,10,365,7.68,56.98,Top 20% (Core Revenue)
18251,4314.72,1,0,7.7,57.03,Top 20% (Core Revenue)
12347,4310,7,365,7.72,57.08,Top 20% (Core Revenue)
17937,4301.22,7,353,7.75,57.13,Top 20% (Core Revenue)
15034,4274.16,11,338,7.77,57.18,Top 20% (Core Revenue)
14422,4263.64,6,266,7.79,57.22,Top 20% (Core Revenue)
12500,4257.82,13,310,7.81,57.27,Top 20% (Core Revenue)
17419,4226.57,14,355,7.84,57.32,Top 20% (Core Revenue)
14525,4215.9,13,352,7.86,57.37,Top 20% (Core Revenue)
15804,4206.39,19,198,7.88,57.42,Top 20% (Core Revenue)
15971,4199.85,12,293,7.91,57.46,Top 20% (Core Revenue)
12747,4196.01,11,366,7.93,57.51,Top 20% (Core Revenue)
14146,4191,6,348,7.95,57.56,Top 20% (Core Revenue)
14277,4188,4,197,7.98,57.6,Top 20% (Core Revenue)
12949,4167.22,10,221,8,57.65,Top 20% (Core Revenue)
13384,4151.93,9,147,8.02,57.7,Top 20% (Core Revenue)
15570,4148.82,13,362,8.05,57.74,Top 20% (Core Revenue)
13988,4147.96,9,234,8.07,57.79,Top 20% (Core Revenue)
12569,4124.69,35,250,8.09,57.84,Top 20% (Core Revenue)
17920,4119.5,17,369,8.11,57.88,Top 20% (Core Revenue)
16592,4113.68,19,283,8.14,57.93,Top 20% (Core Revenue)
13555,4098.88,4,128,8.16,57.98,Top 20% (Core Revenue)
16401,4098.32,20,326,8.18,58.02,Top 20% (Core Revenue)
18041,4097.37,22,361,8.21,58.07,Top 20% (Core Revenue)
16670,4095.9,17,341,8.23,58.11,Top 20% (Core Revenue)
12749,4090.88,8,209,8.25,58.16,Top 20% (Core Revenue)
14092,4076.91,17,365,8.28,58.21,Top 20% (Core Revenue)
12449,4067.29,4,164,8.3,58.25,Top 20% (Core Revenue)
17377,4058.32,21,349,8.32,58.3,Top 20% (Core Revenue)
18087,4055.72,4,203,8.34,58.34,Top 20% (Core Revenue)
14401,4051.48,14,355,8.37,58.39,Top 20% (Core Revenue)
12656,4051.17,8,225,8.39,58.43,Top 20% (Core Revenue)
16549,4034.9,10,324,8.41,58.48,Top 20% (Core Revenue)
13815,4027.36,5,296,8.44,58.53,Top 20% (Core Revenue)
15514,4023.72,13,352,8.46,58.57,Top 20% (Core Revenue)
17940,4020.04,14,253,8.48,58.62,Top 20% (Core Revenue)
12957,4017.54,12,335,8.51,58.66,Top 20% (Core Revenue)
12867,4009.34,10,334,8.53,58.71,Top 20% (Core Revenue)
12378,4008.62,1,0,8.55,58.75,Top 20% (Core Revenue)
16186,4006.94,13,349,8.58,58.8,Top 20% (Core Revenue)
12841,3991.58,26,367,8.6,58.84,Top 20% (Core Revenue)
17001,3989.57,11,358,8.62,58.89,Top 20% (Core Revenue)
15416,3984.32,5,218,8.64,58.93,Top 20% (Core Revenue)
12779,3981.36,12,350,8.67,58.98,Top 20% (Core Revenue)
12727,3980.7,9,309,8.69,59.02,Top 20% (Core Revenue)
14547,3974.75,9,50,8.71,59.07,Top 20% (Core Revenue)
14299,3965.62,18,358,8.74,59.11,Top 20% (Core Revenue)
13523,3964.88,6,333,8.76,59.15,Top 20% (Core Revenue)
15529,3962.6,12,343,8.78,59.2,Top 20% (Core Revenue)
17611,3961.12,19,357,8.81,59.24,Top 20% (Core Revenue)
13183,3957.78,9,326,8.83,59.29,Top 20% (Core Revenue)
17769,3957.43,12,308,8.85,59.33,Top 20% (Core Revenue)
17651,3945,14,165,8.88,59.38,Top 20% (Core Revenue)
12473,3928.05,9,162,8.9,59.42,Top 20% (Core Revenue)
17593,3923.86,6,349,8.92,59.47,Top 20% (Core Revenue)
14739,3902.28,8,364,8.94,59.51,Top 20% (Core Revenue)
13999,3901.81,15,351,8.97,59.55,Top 20% (Core Revenue)
14291,3883.25,12,273,8.99,59.6,Top 20% (Core Revenue)
15195,3861,1,0,9.01,59.64,Top 20% (Core Revenue)
18073,3859.82,13,82,9.04,59.68,Top 20% (Core Revenue)
12662,3849.78,12,372,9.06,59.73,Top 20% (Core Revenue)
16717,3843.08,9,357,9.08,59.77,Top 20% (Core Revenue)
13266,3834.26,19,347,9.11,59.81,Top 20% (Core Revenue)
17091,3827.76,10,365,9.13,59.86,Top 20% (Core Revenue)
16327,3820.27,6,355,9.15,59.9,Top 20% (Core Revenue)
12755,3811.95,4,115,9.17,59.94,Top 20% (Core Revenue)
12597,3811.22,5,248,9.2,59.99,Top 20% (Core Revenue)
15867,3810.14,16,363,9.22,60.03,Top 20% (Core Revenue)
13435,3809.89,9,183,9.24,60.07,Top 20% (Core Revenue)
12668,3807.15,6,348,9.27,60.11,Top 20% (Core Revenue)
16145,3799.49,18,351,9.29,60.16,Top 20% (Core Revenue)
16655,3789.52,6,314,9.31,60.2,Top 20% (Core Revenue)
16168,3787.6,28,359,9.34,60.24,Top 20% (Core Revenue)
16019,3786.24,10,362,9.36,60.28,Top 20% (Core Revenue)
12562,3781.74,7,190,9.38,60.33,Top 20% (Core Revenue)
17173,3766.6,9,125,9.41,60.37,Top 20% (Core Revenue)
13124,3756.33,3,269,9.43,60.41,Top 20% (Core Revenue)
12429,3750.4,4,356,9.45,60.45,Top 20% (Core Revenue)
